"","Sex","Age","Education","Caste","Family","Family_income","Who_runs_page","Desc_family","Desc_desiredpartner"
"113","Male","32 and more","Graduate","Dalit","Nuclear Family","Max 12.5 lakh","Sibling","Hi I belong aviation business class family our brand uttara tourism or can visit us helicopter service in uttarakhand Big Brother Married Bhabhi Fashion designer Brother CEO Uttara Tourism Mama ji IPS in Lucknow","looking Dynamic personality and well educated who can capable as executive director post in our company and good manner relationship and respect each family members. or Govt job"
"114","Male","Upto 27","Graduate","OBC","Joint Family","Max 12.5 lakh","Self","father is retired in private sector mother is expired one brother is married and working in private sector three sister all married","She should be the one who can handle every situation of her life easily and comfortably. She should be from a very good family background and understand her responsibilities towards life and family."
"115","Male","32 and more","Postgraduate","OBC","Joint Family","Max 12.5 lakh","Self","we are four brothers and two sisters,in which 1brother &1 Sister married. first younger brother is advocate in civil court gkp.second younger brother is deals shop.","physically and mentally fit.plain life and high thinking approach.. also Government teacher,govt employee or bank manager, P.O./Clerk profession. priority Gorakhpur mndL Area's members. if she is private working but her appearance fair looking healthy smart and polite,moral."
"116","Male","28 to 31","Graduate","Brahmin","Joint Family","Max 5 lakh","Other","Middle class family","Housewife"
"117","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 12.5 lakh","Self","We are five members in family and all are living togather with hippiness and we are middle class and down to earth...We live happy and friendly in family.","we are looking a good partner to keep family happy and together always and give respect to everyone."
"118","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","we are nuclear family having faith in God. we are a well knit small family ,we all are loving ,caring and humorous...","loving ,caring and adjustable nature"
"119","Male","Upto 27","Graduate","Dalit","Nuclear Family","Max 17.5 lakh","Self","our family is too small, mom dad and elder bro","beautiful and educated"
"120","Male","28 to 31","Postgraduate","OBC","Nuclear Family","More than 17.5","Self","My family is a liberal family and we all siblings are working individually and family is combined and the decisions are discussed together and finalized after due consent.","Want a life partner who can understand me and we both accompanied together can spend the whole life together happily without much complaints and we can find the deep love and affection for each other."
"121","Female","28 to 31","Postgraduate","OBC","Joint Family","More than 17.5","Parent","Father- Real Estate Businessman Mother-Housewife Brother- Advocate in High Court","Fit for each other ."
"122","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 6.3 lakh","Parent","Nuclear Middle Class Family","Looking for an open minded life partner and family with modern values who believe and live with the understanding of individual space and growth in every aspect of life."
"123","Male","28 to 31","Postgraduate","Other upper caste","Joint Family","Max 17.5 lakh","Parent","We are joint family . we all respect each other thoughts and we love to live life happily.","caring ,friendly and respect all"
"124","Male","32 and more","No higher education","Dalit","Nuclear Family","Max 6.3 lakh","Self","father is retired from private sector mother is housewife one brother is married and working in private sector","She should be the one who can handle every situation of her life easily and comfortably. She should be from a very good family background and understand her responsibilities towards life and family."
"125","Male","32 and more","Graduate","OBC","Nuclear Family","Max 17.5 lakh","Self","Middle class with high moral values.","Having a kind heart and beautiful mind, lover of human being, accept my family as her own, caring,down to earth, having high morals ."
"126","Male","32 and more","Postgraduate","Dalit","Nuclear Family","Max 5 lakh","Self","vartaman samay me mere parivar me paach log hai, papa,bhaiya,bhabhi,ek pyaari si bhatiji aur khud mai. Didi bhi hai lekin unki shaadi ho chuki hai filhal wo apne sasural me hai. Par haa aap yehi soch rahe honge ki meri maa kaha hai, to mai bade dukh k saath batana chahunga ki ab wo is duniya me nahi hai.","Ek aic partner Jo sari khushiyaa de sake"
"127","Male","28 to 31","Graduate","Brahmin","Joint Family","Max 12.5 lakh","Self","In my family there is my father, my mother, one brother and myself. Father is a servicemen who works in Hindustan Media Ventures Ltd as a Manager while mother is a home maker. My family is a mix of modern and tradition beliefs.","She should be able to manage & maintain relations with all my family members & friends. She should respect elders & family values."
"128","Male","32 and more","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","We are a small family of My mother and me. Originally from Saharanpur, moved to Kurukshetra in 2000 and now settled in Noida Extension since 2018. Most of our extended family lives in Saharanpur.","She should be simple, fun loving, intelligent and having practical approach towards life. Professionally Qualified (Working) would be preferred."
"129","Male","Upto 27","Graduate","Dalit","Joint Family","Max 6.3 lakh","Self","In my family 8 members have... Two elders brother married and sister also..","Should be Simple, caring and Loving.. Always supportive,can be Best partner..Pls."
"130","Male","Upto 27","No higher education","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","Only Mother living with me Middle class family.","Mature and helpful Understood"
"131","Female","28 to 31","Postgraduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Parent","We are Kshartiya Swankar in family. We are living in a nuclear family. There are five members in our family:- me(mother), my husband, one daughter (elder one) and two sons (younger). We are Liberal in thoughts.","As our family is very happy,understanding and easy got mingled with others. We want same in our son in law and his family for us. We wanted to marry our daughter in Kshatriya Swankar Family. We want a fun loving, Loving, Caring and Understanding husband for our daughter who can easily mingle with her and our family."
"132","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 6.3 lakh","Self","in my family 4 members 1- Mr. B.p. Singh Bhadauria ( father) 2- mrs. Anita Singh ( Mother ) 3- Namrata Singh ( sister) got married with 4- Rohit Singh Parihar ( jiju) 5( it's me)","i want my partner first she will become my friend we both are known each other very well the she will become my life partner. i Am a one women man . only serious can show our interest"
"133","Male","Upto 27","Graduate","OBC","Joint Family","Max 6.3 lakh","Self","Mammy, papa, bhai, bhabhi, sister and me","¤®¥‡¤°¤¾ ¤¥‡¤¹¤°¤¾ ¤¤²¤¾ ¤¹¥¤† ¤¹¥ ¤¤°¤¾ ¤§¥¤¯¤¾¤¨ ¤¸¥‡ ¤¦¥‡¤–¤¿¤ ¤—¤¾ ¤†¤ ¤²¥‹¤—¥¤"
"134","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Sibling","My father Mr.Anil Kumar Srivastav is volunteer retired from Govt. Service.He was employee of Fertilizer Govt. of India. My mother Geeta Srivastav who is MA B.ed and she is housewife. My brother who is completed Graduation (B.Com) and Diploma in Engineering now he is doing preparation for Govt. job.","I am looking for a beautiful nd understanding life partner."
"135","Male","Upto 27","No higher education","Other upper caste","Nuclear Family","Max 6.3 lakh","Self","Father is farmer mother is housewife four brother two are married & two are unmarried & all are working in private sector three sister two are married & both are well settled in Gorakhpur & one is unmarried","She should be the one who can handle every situation of her life easily and comfortably. She should be from a very good family background and understand her responsibilities towards life and family."
"136","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Self","I am the only child of my parents. We belong to a well settled family in Lucknow. My father is now retired after his professional innings . My mom is a housewife.","Caste , colour and creed is not a factor worth considering. i don't carehow one looks. i am looking for a compatible companion. your nature , communication skills , attitude and respect towards each others family is what I m looking for. Her job continuity has to be a mutual agreement , which , can only be based on compatibility and mutual understanding."
"137","Female","32 and more","Postgraduate","OBC","Nuclear Family","Max 12.5 lakh","Parent","Traditional Simple upper middle class family","Simple and Good listener"
"138","Male","28 to 31","Graduate","Dalit","Nuclear Family","More than 17.5","Parent","My father is working as chief cane officer. and mother is house wife. .","Looking for a simple, beautiful, loving, caring & adjustable Girl, She should have love for the young ones and respect for parents and elders."
"139","Male","32 and more","Graduate","Other upper caste","Joint Family","Max 12.5 lakh","Self","About my family my father retired as officer from ITI Naini company, mother is house wife, I have one elder brother (married), 3 elder sister (2 married). living as joint family in Naini Allahabad in own house.","Anyone who understand me , love me, stand with me in every situation."
"140","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Parent","Mother And Father, both are Government employee. They both live in Lucknow, Uttar Pradesh. They both are graduate.","He must be decent, open minded, jolly, intelligent, flexible, and caring."
"141","Male","28 to 31","Graduate","Dalit","Joint Family","More than 17.5","Self","Lives with father and mother in lucknow. Elder sister are married and resides in Noida.","My brother is looking for a soulmate, who is understanding, down to earth, lives and enjoys every moment of life, who will his best friend for life.. !!"
"142","Male","32 and more","Postgraduate","Brahmin","Joint Family","Max 17.5 lakh","Parent","My family is joint family.","Only vegetarian partner. No egg . Only Maglik member contact me .Without Manglik member no time pas."
"143","Male","28 to 31","Graduate","OBC","Joint Family","Max 6.3 lakh","Self","my family is simple.they lives in villages.","i am looking for simple partner who understand ur responsibility."
"144","Male","Upto 27","Postgraduate","OBC","Nuclear Family","Max 12.5 lakh","Self","My father is an advocate and mother is excellent housewife and one Younger brother who is pursuing betech in mechanical branch.","simple , caring , loving, passionate about her carrier,"
"145","Male","28 to 31","Graduate","Other upper caste","Joint Family","More than 17.5","Sibling","Joint Family","Looking for a girl who has a good professional career & will be able to manage my home. A girl who has a flexible attitude & capable of managing her aspirations as per the situation. My life partner should be caring & respectful towards all the family members."
"146","Male","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Self","Ours is an upper middle class family with moderate values. My Father is a retired DGM from Uttar Pradesh Power Corporation Ltd. My Mother is a housewife. My elder sister is married in Kanpur and my Brother-in-Law is running his business. We belong to Kanpur city.","I desire a life partner who should be confident and smart. She should have the ability to make a person feel comfortable when he/ she interacts with her. Nobody is perfect and i don't expect the same from her but she should know that respect is earned and it cannot be forced. She should stand with me in the ups and downs of life and support me whenever i need it and same I consider as my responsibility for her. I am ready to do everything for her family which is needed and i expect the same responsibility from her side for my family."
"147","Male","28 to 31","Postgraduate","OBC","Joint Family","Max 17.5 lakh","Self","My parents are lives in village from diist bulandshahr up self one big bro marriageable three big sisters madrid able mother housewife","my partner is simple edgucated comfortable"
"148","Male","Upto 27","Graduate","OBC","Joint Family","Max 12.5 lakh","Parent","My family is cute and small","Well settled and broad thinking.... And good nature and individual job in any wahere but family base is satteld Delhi NCR"
"149","Male","Upto 27","Postgraduate","OBC","Joint Family","Max 6.3 lakh","Self","Four member in my familly","My partner should be a simple girl,beauti and good face."
"150","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Self","My ancestors are from Allahabad, Uttar Pradesh and my grand mother and most of my relatives are resided their. Brother is Operation Manager in HDFC Home loans after completion of his MBA (finance) degree. Both sisters did Engineering and preparing for competitive exm . We are enjoying happy and cheerful life with good understanding and caring of our near dears.","She is professional qualified and be good human being who knows how to adopt the cultures and rituals."
"151","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Self","my father retire from army m .e.s .my mother is house lady .and my brother is also having own business.and babhi is also house wife","good looking,educated and simple life style ,cultured."
"152","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 6.3 lakh","Self","My Mom is a radiant person and a homemaker, Dad is peace loving and a businessman. An Elder sister (married). I was born and brought up in Lucknow, my parents currently reside in Bareilly(UP).'","1.Should be generous, empathetic 2. Should believe in a healthy lifestyle 3. Inclination towards spirituality/social causes would be great or just support me a bit. Looking for a great friend as my companion...we learn from each other & grow together making it a blissful journey in the years to come :-)"
"153","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","Max 6.3 lakh","Self","My family having Traditional and modern values. Mother, One younger sister who is married and Me. My father is no more.","She should be simple caring with traditional and modern values. She should be well educated. I am looking my partner"
"154","Male","Upto 27","No higher education","Other upper caste","Joint Family","Max 5 lakh","Self","My femil midel class","Normal silim body"
"155","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","Max 12.5 lakh","Sibling","father is retired form Indian Army mother is housewife two sister one sister is married and she is settled in Punjab Firojpur and another sister is unmarried and she is working in Private sector","She should be the one who understands her responsibility towards life and family members. She should be beautiful, caring, soft spoken and loving in nature. She should have adjustable nature and should be able to handle every thick and thins of life. She should believe in family values and belongs to a very good family background."
"156","Female","28 to 31","Postgraduate","OBC","Nuclear Family","More than 17.5","Sibling","Our family is based out of Delhi NCR and our grandparents are from Bihar. We live in Ghaziabad. My younger brother is currently pursuing CA final first group and my youngest brother preparing for Govt. job. My father has fruit and vegetable business in Ghaziabad. My mother happens to be a homemaker. We are a fun-loving family and believe in living life to the fullest extent and mingling with family and friends. Our extended family is a large and we always find opportunities to meet up!","Looking for a person who is independent and understanding. He should be a good human being with a positive attitude towards life."
"157","Female","28 to 31","Postgraduate","Dalit","Nuclear Family","Max 17.5 lakh","Self","""Life is beautiful.when It¢€™s about family.¢€<fc><be><99><83><a4><bc> Father is retired AAO of AG office . Mother is lecturer(vice principal) in govt college . Brother is Deputy Manager in 99 acres Noida","I am looking for a person who lives life to its fullest, who is energetic and whose presence spreads positivity & happiness. I feel to have a successful married life; a person with a correct attitude, right understanding,respect for family & immense love should be your life partner."
"158","Female","Upto 27","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Self","I belong to a humble family. My father is in Police Department, posted in Ambala while mother is an Associate Professor and HOD in a reputed college in Ambala itself. I have a younger brother who is pursuing MBBS.","Looking for a well read and a pleasing personality who understands the sanctity of marriage. A person with good sense of humour will be great!"
"159","Female","32 and more","No higher education","Other upper caste","Joint Family","Max 12.5 lakh","Parent","My father is no more. My mother is home maker.I have two brother .Both are married and bussiness owner.they live in rampur.I have three sisters.one is married .she is house maker .she live in bareilly .Two sisters take coaching classes and preparing for job.","I want settled, hard worker, kind hearted , loving cool and stand with me all conditions ."
"160","Male","Upto 27","Graduate","OBC","Joint Family","Max 12.5 lakh","Self","Nuclear family","Looking for life Partner should be bold and self dependent & ambitious, Understandable"
"161","Female","28 to 31","Postgraduate","Dalit","Nuclear Family","More than 17.5","Self","My father is a business person. My mother is a housewife. I have one brother which is unmarried. I have a sister which is also unmarried.","Looking for a person who is independent and understanding. He should be a good human being with a positive attitude towards life. He should be well educated and settled partner along with a modern outlook. Honest, loving, caring and understanding person who believes in life long relationship and commitment."
"162","Female","Upto 27","Graduate","Brahmin","Nuclear Family","More than 17.5","Parent","I (Father) am posted as General Manager (pers) in Coal India Ltd which is a Maharatna psu . We live in our own house in Dhanbad. My wife (mother) has a M.A degree and is a homemaker. My elder son is working in multinational company in Bangalore. My father were 3 brothers (grandfather ) of which my father and uncle were doctors and other uncle was Advocate .My ancestral home is in district Bhagalpur (Bihar) where my two brothers(uncle) live . Elder brother is professor and younger one is a lawyer and holds his own business.","We are looking for a Smart , good looking , affectionate and cultured partner for her who has completed his studies from a prestigious institutions and working in a metropolitan city in India."
"163","Male","32 and more","Postgraduate","Dalit","Joint Family","Max 17.5 lakh","Self","we properly belong from shahjahanpur. my mother is no more with us. Father retired from Army as ordinary captain. 2 brothers both are assistant teacher in added school.","beautiful , simple, modern an having good moral values ."
"164","Male","28 to 31","Postgraduate","Dalit","Nuclear Family","More than 17.5","Self","I having one younger brother who has completed his Diploma, and a younger sister Who is pursuing M.com and both of them are preparing for their Government job, and my fathers job is in Singrauli Madhyapradesh,he is a government employee. And my mother is homemaker.","She should be understanding with 100% Loyalty towards our relationship, should be fun loving and jolly nature with family values..and she should well understood her priorities, who should be by my side at every step of This Beautiful journey of life,like my support system and my motivation.."
"165","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Sibling","In my family 6 member my parents, my younger brother, my sister, his cute little son nd me. My family is simple nd medium but basic needs of each family member are important nd we fufill all them. Because must important thing is understanding, respect nd happiness in family and my family has all these.","I look in my partner, who understand me, my family situations, my feelings, my living style nd respect to all."
"166","Female","Upto 27","Postgraduate","Dalit","Nuclear Family","Max 5 lakh","Self","My father is a Raj mistri .my mother is a house wife..I have one younger brother and sister ..Both are unmarried and studying.","He should be honest and kind hearted."
"167","Male","28 to 31","No higher education","Brahmin","Nuclear Family","Max 6.3 lakh","Self","Father is Retired from Private Sector. Mother is Housewife. one brother is married and he has own Business at Meerut. two sister both are married and both are settled in UP.","She should be the one who can handle every situation of her life easily and comfortably. She should be from a very good family background and understand her responsibilities towards life and family."
"168","Male","28 to 31","Graduate","OBC","Nuclear Family","More than 17.5","Self","There are 6 Members in my family. Mom, Dad, Younger sister and brother. My elder sister is married and living happily.","I want a life partner who is well educated, Smart, Sincere, family Oriented, having traditional and modern thoughts, and made a healthy relationship between both families."
"169","Female","32 and more","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Father-BE(Hon), NIT, Allahabad, FIE, an IRSE officer of 1981 batch and retired recently as Chief Engineer from Indian Railways. Now , working as Consultant in Delhi Metro Rail Corporation for Dhaka Metro Rail Project. Mother is well qualified, MA BEd. and is a prefect homemaker. Only one elder brother, M.Tech from IIIT/Bangalore, working with Samsung India as Chief Engineer at Noida. We own a flat at Noida and other properties. We are well educated and reputed family. We originally belong to Meerut (U.P). Other family members/relatives are well settled in business/services.","Well educated Agarwal boy passed out from premier institutes, from well settled and reputed family and working in India."
"170","Male","32 and more","Graduate","Other upper caste","Joint Family","More than 17.5","Parent","2 elder brothers, both are married and having 1 kid each. One sister she is also married and having 2 kids. Father is ex-serviceman(retired from Indian air force) mother is a housewife.We are living in a joint a family.","she should be caring,understandable, loving, happily handle any situations, suppprt her husband in good and bad situtations. be a friend of her husband more than a wife.give equal repect to both the families. adjustable in new family."
"171","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Self","I belong to upper middle class family","beautiful, silm ,fair , & my cast"
"172","Male","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Father an Electrical engineer ,, retired as Additional General manager from BHEL a Mahatatna PSU. Mother is a House wife, God fearing lady with Post Graduate qualification. Sister, a post graduate , is married to an Engineer . Currently they are located in Mumbai. She is blessed with a cute baby girl. Parents are staying after retirement at Greater Noida in their own flat and are enjoying all modern day amenities.","Looking for a simple but educated girl. The girl shall be ready to move with the boy at the earliest opportunity and adjust with the varying conditions in life.This includes even to abroad. Dowry is not the concern for anyone."
"173","Female","Upto 27","Graduate","OBC","Nuclear Family","Max 17.5 lakh","Self","Parents are living in Mumbai itself where as brother is living in karnataka and he is doing job there. Dad is retired from Indian Navy and mom is a housewife. We three are settled in Mumbai as of now and have our own flat here.","I would prefer someone who understands me and with whom i can enjoy each and every moment of life.. someone who is caring and be with me in all ups and downs of life. caste doesn't matter if the person is good."
"174","Male","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Self","my family is so simple and loving, believe in God.native place is Lucknow","simple,decent,loyal,mature girl who would be good friend who stand besides me"
"175","Male","Upto 27","Graduate","Dalit","Nuclear Family","Max 12.5 lakh","Self","My father is a retired from semi- governmnet sector and mother is housewife and i have two brother, both are unmarried.","I am looking for a simple, innocent, caring and educated girl who believe in our culture and although give respect to my parents and my whole family. She should be matured, intelligent and a confident girl with a positive attitude in maintaining a balance between a professional and family life and spreading joy among our friends & relatives."
"176","Male","32 and more","Postgraduate","OBC","Nuclear Family","More than 17.5","Self","My family consists of my mother, father and two Siblings. My Father running his own business and Mother is housewife. Two brothers both are well educated and settled job profile.","I am looking for an educated woman. Someone who appreciate the family value and tradition with interest."
"177","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Parent","His brother is also businessman and sister is doing job in U.S.A..","Nature by good and looking so beautiful."
"178","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","Our is a middle class nuclear family with moderate values. I have two sisters both are married, my mother is a homemaker and father is Retired. we are currently residing in Modinagar.","Looking for a girl who has a good professional career & will be able to manage my home. A girl who has a flexible attitude and capable of managing her aspirations as per the situation, My life partner should be caring and understanding."
"179","Male","32 and more","Graduate","Other upper caste","Nuclear Family","Max 6.3 lakh","Parent","Father is running Bussiness. Mother is housewife. Brother is running Bussiness.","Looking for a well educated, decent, loving, caring & down to earth person who believes in customs, traditions & respect Elder."
"180","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","Max 6.3 lakh","Parent","Father got retired from UPPCL as a JE & mother is a homemaker","An honest liberal person with right value system .Caring, kind & compassionate person with a keen intellect .A matured ,well settled person with self-knowledge & clarity of vision & positive outlook .These are a few of the things I am looking for. Overall I am looking for a good human being with intellect."
"181","Male","28 to 31","Graduate","Brahmin","Nuclear Family","More than 17.5","Self","We are a nuclear family. Father is in business, mother is home maker and Elder sister is married.","She should be smart and understanding. this will cover all other things."
"182","Female","32 and more","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Father : Working as Sr. Genl. MGR. in Private Company. Mother: Home Maker & Religious Lady. Elder Brother: B. Tech Working as MGR. in Ltd. Company. Bhabhi: She is Teacher in convent school.","We are looking for an intellectually compatible and an understanding life partner for our daughter. He should be gud human being who respect the womens."
"183","Female","Upto 27","Postgraduate","Brahmin","Nuclear Family","Max 6.3 lakh","Parent","My father is a businessman and my mother is housewife. I have one younger brother who has done mechanical engineering.","I need an understanding partner who¢€™s caring and loves to travel and open to explore new places and things with me, who motivates me and plan our future together."
"184","Male","28 to 31","Postgraduate","Other upper caste","Joint Family","Max 5 lakh","Self","my mom ,father and three brothers","simple and naturally Beauti short term talk, cooking special only occasionally. that's sit... one minute conversation should be good for parents and guardian...."
"185","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","Max 6.3 lakh","Self","my family consists of my mother ,father and my younger brother my father is working in a private organisation and my mother is a housewife ..my younger brother is studding now..","she should be positive to each and every condition and should be down to earth respect to my family and cares about each and every kind of relationship and give me time and her attention ."
"186","Male","Upto 27","Graduate","Dalit","Nuclear Family","Max 6.3 lakh","Self","there are all family members including with parents and grandparents.","she should be loyal towards her spouse"
"187","Male","Upto 27","Graduate","Brahmin","Nuclear Family","Max 5 lakh","Self","my mom is very agressive with me and she is love me.","mera partner mera sabse achha dost hona chahiye baad me Humsafar."
"188","Male","32 and more","Postgraduate","OBC","Nuclear Family","Max 17.5 lakh","Sibling","Nuclear family","Should be good looking ,daring ,obedient and polite."
"189","Male","28 to 31","Graduate","Brahmin","Nuclear Family","More than 17.5","Parent","Father SDO is state government, mother is house maker, sister pursing M.S. from NY(USA). Grandfather Rtd Excise Commissioner maternal grandfather Rtd SP, other relatives are also government employees. We are simple minded family, want a daughter in family not any girl. Who is independent, working and cultured and can easily be part of this family.","Should be working and independent, have good height and respect elders. Should be problem solver and humble."
"190","Male","28 to 31","Postgraduate","Dalit","Nuclear Family","More than 17.5","Self","My father is retired principal from government college and my mother is housewife. we are 3 sisters and 2 brothers i m youngest one my sisters and brother are married. my brother is sub inspector in delhi. My native place is in neem ka thana which is 100 km from jaipur in rajasthan.","I am looking for someone who is in IT background."
"191","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Self","we understand the value and worth of person and give the respect to everyone!!","must be understand the value of relationship and family dignity."
"192","Male","Upto 27","Graduate","OBC","Joint Family","Max 6.3 lakh","Other","My family settled in Fatehpur Uttar Pradesh.and higher middle class family.","I want to simple Life partner with care my family."
"193","Male","32 and more","Graduate","OBC","Nuclear Family","Max 12.5 lakh","Self","My parents are in Kanpur and my brother is working as an Engineer in Pune.","A lovely, charming and beautiful person who can make my life more meaningful."
"194","Male","Upto 27","Graduate","Dalit","Joint Family","Max 12.5 lakh","Self","Father is farmer. Mother is housewife. One brother he is married and doing job in private sector. One sister she is married and settled in Gaziabad","A simple, beautiful, loving, caring & adjustable girl with good educational background. She should have love for the young ones and respect for parents and elders. She should value relationship and tradition. She should believe in long term relationship & ready to face all challenges of life with positive attitude."
"195","Male","Upto 27","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Self","joint faimily","I love my Faimily"
"196","Male","32 and more","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Sibling","Liberal and modern. Well educated, well mannered family.","Should be liberal modest understanding honest and gives equal importance to both career and family."
"197","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","Father - Director marketing society Ganjdundwara Elder brother- software engineer in fujitsu gurugram Younger brother - president at Co-oprative society Patiyali Youngest brother- Pursuing B. Tech. In civil egg. From GLA university Mathura","She should be caring,loving and interested in cooking also."
"198","Male","28 to 31","Graduate","Other upper caste","Joint Family","More than 17.5","Sibling","upper middle class n small family","she should be understanding.we need a daughter not daughter in law...."
"199","Male","32 and more","Postgraduate","Other upper caste","Joint Family","Max 12.5 lakh","Self","My elder brother is well known dentist in Allahabad, younger brother is a contractor while my younger sister a ayurvedic doctor in depression.","She must be caring, understanding and supportive in every manner. She must respect elder which is very important for me."
"200","Male","28 to 31","Graduate","Brahmin","Joint Family","More than 17.5","Self","In my family we are total 9 members. My Father was a Mahanth of a Temple in Ayodhya. My mother is a housewife. We are 6 brothers and one sister. We are against dowry. Eldest brother is Vice president in Hitachi payment services pvt.ltd in Mumbai. second one is Sales Manager in Switching Avo electro power ltd.Ups company in Raipur. Sister is married. My sister is a BHMS doctor and Brother in law is a dentist. Two younger brothers are engineering graduate and the youngest one is pursuing Master's in Yoga.","MY partner Should be someone who respect my family ."
"201","Female","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 5 lakh","Sibling","My mom is a house wife and my dad retired from his service.he was tax collector in Nagar Nigam.my brother is doing b.tech. my elder sister has cmpleted her m.com and b.ed.","as my sister is so loyal and innocent so I want a loyal life partner for her who respect elders and youngers both."
"202","Male","28 to 31","Postgraduate","OBC","Nuclear Family","More than 17.5","Self","In my family there is my father, my mother, two sisters, one brother and sister-in-law. Both sisters and my brother are happily married. My Father is a retired person and he was in a automobile company as Quality Control Inspector while mother is a Government School Principal in U. P. Government. My eldest sister also a government school teacher and second sister is a Health Professional.My brother is a businessman and sister in law is a homemaker.My family is a mix of modern and tradition beliefs. My parents and my brother along with his family are living in my village (Deoria) and they want to live there only in future.","I am looking for somebody who is modern but still believes that marriage is sacred. She should be my best friend as well as wife. She must be educated and with goals in life. She should also love to travel."
"203","Female","Upto 27","Postgraduate","Other upper caste","Joint Family","Max 5 lakh","Self","I love my family","nice person and loveing caring honest"
"204","Male","28 to 31","Graduate","Dalit","Nuclear Family","More than 17.5","Parent","Father is retired as Vice Principle from the school of Delhi Government. Mother is retired as TGT from the school of Delhi Government. Elder sister is MBBS and MD from Delhi University working as D. M. O. in Ministry of Railway, brother in law is working in Central Government GST.","We are looking for a kind hearted, humble, family oriented girl. Desirable preference for government job specially govt teacher."
"205","Male","32 and more","Graduate","Other upper caste","Joint Family","Max 12.5 lakh","Parent","one elder sister married,B Tech working as asistant manager in airport authority of india mumbai","more than 5'3"" slim ,beautiful, adjustable nature prefrably B Tech. in job."
"206","Female","Upto 27","Postgraduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","I have a nuclear familly. MY father is a business man (sole- proprietor) and mother is housewife and i have one younger brother he is unmarried and working as a government employee. Interested profile may please share their contact number with us.","I am looking for a handsome well educated, well qualified and well settled person in my life. I wish he would be understandable in nature, caring and broad minded person."
"207","Male","32 and more","No higher education","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","My family live in Lucknow. My own wholesale business for Tiles & Marble Granite in Mumbai.","My life partner like a best friend, Good heart, honest and open minded & jolly not typical old Indian wife. She full life live like a best friend not like a typical Indian wife. She respect your family and my family"
"208","Female","28 to 31","Postgraduate","Other upper caste","Joint Family","More than 17.5","Parent","She belong from reputated business cls family .Her mother is a good homemaker. She has two younger brothers . Elder one is handling his own business and the second one is doing MBBS from Bishkek (Kyrgyzstan).","Tall, fair and smart working boy from a sweet and an established family . He should be the loving, caring , supporting in every step of life and also take forward the family values further."
"209","Female","Upto 27","Postgraduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Other","My family include my parents 1 brother which is married and 2 sisiter who already married","he should be broad minded caring and Mature and native place is nearby Gorakhpur no issue if the boy is working anywhere in india."
"210","Female","28 to 31","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","we are family of four member, both parents are retired senior officers from PSU, elder sister is senior consultant in an MNC and her husband is director in an MNC. All other extended family members are highly educated and are well placed in their concerns in India/Singapore. Rest can be discussed once we connect. Please Note:- kindly send or accept interest only if you are serious and wish to connect further. This will help to save your and my time :).Profile solely managed by parents.","should be MBA and BE from reputed institutes, with package of ¢‚¹25 Lacs and above"
